"","CustomerID","recency","frequency","monetary"
"1",12680,21.4652777777778,4,862.81
"2",13113,21.4659722222222,40,10510
"3",15804,21.4784722222222,19,3848.55
"4",13777,21.4826388888889,41,25748.35
"5",17581,21.4854166666667,31,10736.11
"6",12748,21.4861111111111,224,29072.1
"7",12713,21.4888888888889,1,848.55
"8",12526,21.49375,3,1316.66
"9",16705,21.4944444444444,29,13946.13
"10",15311,21.5,118,59419.34
"11",12662,21.5006944444444,12,3817.08
"12",17315,21.5013888888889,43,6204.46
"13",16626,21.5027777777778,20,4379.65
"14",18102,21.5069444444444,62,256438.49
"15",14446,21.5180555555556,4,1039.58
"16",14422,21.5236111111111,6,4263.64
"17",17754,21.5277777777778,6,1739.92
"18",15910,21.5479166666667,8,1232.18
"19",12985,21.5513888888889,3,1215.62
"20",15344,21.5520833333333,5,476.58
"21",15498,21.5638888888889,35,12396.46
"22",14051,21.5694444444444,26,15477.34
"23",16558,21.5694444444444,24,8257.04
"24",12518,21.5743055555556,5,2056.89
"25",12423,21.5763888888889,9,1849.11
"26",12433,21.5819444444444,7,13375.87
"27",14397,21.5854166666667,23,2556.68
"28",16954,21.5930555555556,9,2085.08
"29",17428,21.59375,33,17078.45
"30",15694,21.5944444444444,15,6423.6
"31",17389,21.5986111111111,43,31300.08
"32",17001,21.5986111111111,11,3989.57
"33",16446,21.60625,3,2.90000000000001
"34",17490,21.6194444444444,11,1926.88
"35",14441,21.6201388888889,10,1545.14
"36",17364,21.625,12,4455.73
"37",13426,21.6256944444444,12,3550.7
"38",13069,21.6395833333333,27,3717.82
"39",15796,22.1701388888889,10,2666.61
"40",14702,22.1881944444444,18,3250.64
"41",14606,22.1888888888889,128,11713.85
"42",17924,22.1888888888889,13,2894.33
"43",13599,22.1902777777778,33,5030.6
"44",13077,22.1916666666667,4,729.27
"45",13883,22.1944444444444,9,2538.75
"46",15755,22.2090277777778,8,2318.88
"47",15951,22.2104166666667,3,669.57
"48",17526,22.2111111111111,8,706.7
"49",13318,22.2145833333333,3,640.76
"50",13078,22.2166666666667,43,12432.28
